,Trial,Distance,Angular Velocity,Angle
0,1,2.3,2263.1832907667517,59.0
1,2,2.3939999999999997,2272.7325873522655,58.0
2,3,2.488,2291.831180523293,57.0
3,4,2.582,2310.9297736943204,56.0
4,5,2.6759999999999997,2330.028366865348,55.0
5,6,2.7699999999999996,2349.1269600363753,54.0
6,8,2.9579999999999997,2377.7748497929165,53.0
7,9,3.0519999999999996,2396.873442963944,52.00000000000001
8,10,3.146,2425.521332720485,51.0
9,11,3.2399999999999998,2444.6199258915126,50.0
10,12,3.3339999999999996,2473.267815648054,49.0
11,13,3.428,2473.267815648054,49.0
12,14,3.522,2501.915705404595,48.0
13,15,3.6159999999999997,2521.0142985756224,47.0
14,16,3.71,2549.662188332163,46.0
15,17,3.804,2549.662188332163,46.0
16,18,3.8979999999999997,2587.859374674218,45.0
17,19,3.992,2616.5072644307593,43.99999999999999
18,20,4.086,2616.5072644307593,43.99999999999999
19,21,4.18,2645.1551541873005,43.0
20,22,4.274,2683.3523405293554,42.0
21,23,4.368,2683.3523405293554,42.0
22,24,4.462,2712.0002302858966,41.0
23,25,4.556,2750.1974166279515,40.0
24,26,4.65,2750.1974166279515,40.0
25,27,4.744,2788.3946029700064,39.0
26,28,4.837999999999999,2797.94389955552,39.0
27,29,4.932,2826.5917893120613,38.0
28,30,5.026,2864.7889756541163,37.0
29,31,5.119999999999999,2864.7889756541163,37.0
30,32,5.214,2912.535458581685,36.0
31,33,5.308,2912.535458581685,36.0
32,34,5.401999999999999,2950.73264492374,35.0
33,35,5.496,2950.73264492374,35.0
34,36,5.59,2998.479127851308,34.0
35,37,5.683999999999999,2998.479127851308,34.0
36,38,5.7780000000000005,3036.676314193363,33.0
37,39,5.872,3036.676314193363,33.0
38,40,5.965999999999999,3084.4227971209316,32.0
39,41,6.06,3084.4227971209316,32.0
40,42,6.154,3132.1692800485002,31.0
41,43,6.247999999999999,3132.1692800485002,31.0
42,44,6.342,3189.4650595615826,29.999999999999996
43,45,6.436,3189.4650595615826,29.999999999999996
44,47,6.624,3237.2115424891513,29.0
45,48,6.718,3237.2115424891513,29.0
46,49,6.812,3294.5073220022336,28.0
47,50,6.906,3294.5073220022336,28.0
