,Trial,Distance,Angular Velocity,Angle,Velocity,Spin,Time
0,1,2.3,2263.18,59.0,8.14,13.98,0.747
1,2,2.4566666666666666,2291.83,57.0,8.24,14.15,0.734
2,3,2.6133333333333333,2310.93,56.0,8.31,14.27,0.755
3,4,2.77,2349.13,54.0,8.45,14.51,0.741
4,5,2.9266666666666667,2377.77,53.0,8.55,14.68,0.757
5,6,3.083333333333333,2406.42,52.0,8.65,14.86,0.772
6,7,3.2399999999999998,2444.62,50.0,8.79,15.1,0.758
7,8,3.3966666666666665,2473.27,49.0,8.89,15.27,0.771
8,9,3.5533333333333332,2501.92,48.0,8.99,15.45,0.783
9,10,3.71,2549.66,46.0,9.17,15.75,0.767
10,11,3.8666666666666667,2587.86,45.0,9.3,15.98,0.775
11,12,4.023333333333333,2616.51,44.0,9.41,16.16,0.785
12,13,4.18,2645.16,43.0,9.51,16.34,0.795
13,14,4.336666666666666,2683.35,42.0,9.65,16.57,0.801
14,15,4.493333333333333,2712.0,41.0,9.75,16.75,0.81
15,16,4.65,2750.2,40.0,9.89,16.98,0.816
16,17,4.806666666666667,2788.39,39.0,10.02,17.22,0.821
17,18,4.963333333333333,2826.59,38.0,10.16,17.46,0.826
18,19,5.12,2864.79,37.0,10.3,17.69,0.831
19,20,5.276666666666667,2912.54,36.0,10.47,17.99,0.833
20,21,5.433333333333334,2950.73,35.0,10.61,18.22,0.837
21,22,5.59,2998.48,34.0,10.78,18.52,0.839
22,23,5.746666666666666,3036.68,33.0,10.92,18.75,0.843
23,24,5.903333333333333,3046.23,33.0,10.95,18.81,0.87
24,25,6.0600000000000005,3084.42,32.0,11.09,19.05,0.873
25,26,6.216666666666667,3132.17,31.0,11.26,19.34,0.874
26,27,6.373333333333333,3189.47,30.0,11.47,19.7,0.873
27,29,6.6866666666666665,3237.21,29.0,11.64,19.99,0.901
28,30,6.843333333333334,3284.96,28.0,11.81,20.29,0.901
