,Trial,Distance,Angular Velocity,Angle
0,1,2.3,2263.18,59.0
1,2,2.77,2349.13,54.0
2,3,3.23,2444.62,50.0
3,4,3.71,2549.66,46.0
4,5,4.18,2645.16,43.0
5,6,4.65,2750.20,40.0
6,7,5.12,2864.79,37.0
7,8,5.59,2998.48,34.0
8,9,6.06,3084.42,32.0
